疾病名,英文病名,科別,器官,簡介,症狀,預防和治療
,,,,,,
骨髓炎  ,Osteomyelitis,"骨科,感染科",骨骼,骨髓炎的成因是骨骼受到病菌感染所引發，病菌入侵骨骼會形成炎性反應，進一步造成膿瘍而破壞骨頭。早期骨髓炎症狀單純時，通常可以使用抗生素治療，晚期常必須藉由手術加以治療。,['骨頭疼痛．肢體腫脹．發燒．畏寒'],重視骨科手術前後的感染率，醫療單位、醫護團隊、及病患都必須非常謹慎的預防手術相關的感染；身體虛弱的病患應避免長時間留滯於醫院內。
,,,,,,
椎間盤突出  ,"Herniation of intervertebral disc,HIVD","骨科,神經科,復健科",脊椎,椎間盤突出是因椎間盤長期承受重力，產生退化及椎間盤軟骨含水量的減少，造成彈性及緩衝能力隨之減弱，導致椎間盤髓核由纖維環向外穿出造成神經壓迫的情形。亦可因患者承受到突發性的外力撞擊或承載受力過重，導致椎間盤的髓核穿出纖維環。上述情形就稱為椎間盤突出，患者首先會出現下背痛的症狀，隨著病程進展，髓核壓迫到脊髓或推移到神經，就會演變成坐骨神經痛，或更嚴重的永久性神經損傷。,['下背痛．腰痛．臀部痠痛．背部僵硬．坐骨神經痛．上下肢體肌肉痙攣．深部肌腱反射減弱．大小便失禁．下肢酸麻．腿部肌肉無力萎縮．行走困難'],床鋪選擇應軟硬適中，維持脊椎正常生理彎曲。
,,,,,,
坐骨神經痛  ,Sciatica,"骨科,神經科,復健科","下背部,臀部,大腿,小腿,足踝",坐骨神經痛是指疼痛感沿著坐骨神經的分佈區域，通常始於下背部與臀部，沿伸至大腿、小腿與足踝。典型坐骨神經痛的症狀為下肢刺痛、灼痛、麻木或感覺異常，患者在咳嗽、打噴嚏、舉重物等使腹壓增高的動作時，會使疼痛的症狀加劇，此有別於一般的腰酸背痛。坐骨神經痛多是因為椎間盤突出壓迫到神經所引起。,['腰痛．下肢刺痛．灼熱感．麻痺感．觸電感．腿部無力．肌肉萎縮'],需要長時間久坐的工作者，最好能將腰椎的部位緊靠椅背，或使用靠墊，讓腰椎能有足夠的支撐；需要長時間久站的工作者，最好能適時彎曲一腳，以緩和下背部承受的壓力。
,,,,,,
骨質疏鬆症  ,Osteoporosis,"骨科,風溼過敏免疫科,婦產科 ",骨骼,骨質疏鬆症是因為骨質流失、骨密度減弱而使骨骼結構被破壞的疾病，結果會導致骨骼變脆弱，發生骨折的機率增高。骨質疏鬆症往往在骨折前沒有明顯症狀，若發生較嚴重的脊椎骨折、髖骨骨折，可能造成永久行動不便、長期臥床或死亡。臨床以骨質密度檢測做為主要診斷標準，一般正常的骨密度標準差（T值）應大於-1；如小於-1以下，代表骨質不足；小於-2.5就是骨質疏鬆症；數值越小，其疏鬆的危險層級就越高。骨質疏鬆症可分為原發型和續發型。續發型大都由其他特殊的疾病造成骨質的流失，40歲以下男性的骨鬆較多為此型。原發型基本上與退化有關，常見於更年期過後的女性；及老年：常見於七十歲以上女性與八十歲以上男性，女多於男。容易導致脊椎壓迫性骨折、腕骨骨折、髖骨骨折等。,['易骨折．脊椎壓迫性骨折．腕骨骨折．髖骨骨折'],維持健康的體重，攝取均衡飲食，尤其補充含鈣量豐富的食物，如小魚乾、蝦米、黑芝麻、紫菜、髮菜、莧菜、海帶、豆腐、豆漿、牛奶、香菇等。
,,,,,,
髖部骨折  ,Hip Fracture,"骨科,一般外科","臀部,髖部",髖關節骨折是老年人跌倒最常見的骨折類型，一旦發生髖關節骨折，傷者會感覺患部劇痛無法動彈、不良於行、無法負重等症狀。因疼痛無法行動、長期臥床，容易發生嚴重併發症致死，因此醫師在治療上一般會希望患者儘早接受手術。但手術應考量骨折型態、患者年齡、健康狀況等因素，如果年紀較輕，可考慮施以鋼釘內固定手術，年紀較大可接受人工關節置換手術、以降低骨折不癒合及股骨頭壞死的可能性。由於多數髖關節骨折的患者年齡都很大，本身常合併有其他慢性疾病，接受手術前一定要全面評估，不但手術中的麻醉風險高、術後的復健和護理更是關鍵，最好在手術後就讓病人盡早下床多活動，減少長期臥床所引發的嚴重併發症，如泌尿道感染、肺炎、褥瘡或死亡，這些是造成髖關節骨折後一年內死亡率高達百分之二十的主要原因。另外，可以多補充鈣片與維生素D，攝食高蛋白食品如奶、蛋、肉類，幫助修復斷骨，期間也要遠離菸、酒，減緩骨質流失速度。,['鼠蹊部劇痛．髖部劇痛．翻身困難．無法站立．無法負重．行走困難．長短腳．下肢外翻'],平日攝食足夠的鈣質食物如小魚乾、海帶、豆漿等，接受適量的日照幫助維生素D生成，遠離菸酒等，都是增加骨本、減緩骨質疏鬆症發生的保健方式。
,,,,,,
肌腱炎  ,Tendonitis,"復健科,骨科,一般外科,神經科","肌腱,關節",當肌腱組織長期受外力不當的作用影響而發炎，就會形成肌腱炎。肌腱是連接肌肉與骨骼的膠原纖維組織，負責傳遞肌肉的力量抵達骨頭以帶動關節活動，具有耐受伸、彎、扭等，在關節周圍處如手指、手腕、手肘、肩膀、膝蓋、足踝、腳跟等，這些部位因經常活動，肌腱的受力與磨損也極大。鈣化性肌腱炎、媽媽手、滑鼠手、網球肘、高爾夫球肘等，都是常見的肌腱炎類型。值得一提的是，五十肩與肌腱炎的症狀很類似，所以肩膀疼痛不一定就是肩部肌腱炎，首先要確認發炎問題出在肌腱還是關節（囊）。肌腱發炎的臨床症狀為局部疼痛，按壓患處或肌腱用力時不適感會加劇，某些肌腱發炎外觀會有腫脹發熱的現象。病況輕微者兩週內可自癒，逾一個半月情況還未改善，則可能發展成慢性肌腱炎，除疼痛外還會伴隨無力、麻痺、動作僵硬，無法伸展自如等。,['疼痛．紅腫．發熱．麻木．僵硬．無力'],平日可多做一些伸展操，平衡處於過度緊繃狀態的肌腱。
,,,,,,
鈣化性肌腱炎  ,Calcifying Tendinitis,"復健科,骨科","肌腱,關節",鈣化性肌腱炎是鈣化物質沉積於關節周圍的肌腱，所造成反覆發炎的疾病。患部約有70%發生在肩關節，其他像是髖關節、肘部、手腕和膝關節也可能發生鈣化物質沉積。肩關節的鈣化性肌腱炎的臨床表現有：肩膀的活動度受限、旋轉至某個角度時會引發劇烈疼痛、全天候陣疼影響生活品質，甚至嚴重到手臂無法舉起，妨礙手臂活動並造成麻和痛。一般治療多採保守方式，包括口服消炎止痛藥、局部藥物注射及物理治療，如已妨礙日常生活，才會選擇手術直接切除鈣化組織，或可考慮體外震波治療。此外，由於發病部位和臨床表現相似，肩部鈣化性肌鍵炎經常與五十肩混淆，而兩者的區別在於：五十肩是因肩關節退化或受傷造成關節沾黏，引起發炎反應，鈣化性肌腱炎則是因肌腱鈣化所導致，且鈣化性肌腱炎的疼痛通常高過五十肩。肩部肌腱炎若拖久了，亦可能演變為五十肩。,['肩膀劇痛．肩膀無力．手臂無法抬起．上臂疼痛'],不讓肩膀過度疲勞或負荷重物，容易造成肩部肌腱發炎鈣化的不當壓力也都應盡量避免。
,,,,,,
肩旋轉肌袖病變  ,"Frozen Shoulder, Subacromial Impingement, Rotator Cuff Tendinopathy","復健科,骨科",肩關節,肩旋轉肌袖病變是肩關節周圍肌肉、韌帶、滑囊、關節囊等組織退化、受傷或病變，而引起的關節囊慢性炎症，因患病部位牽涉關節周圍，亦稱肩周炎，以女性患者居多，又因臨床統計平均約五十歲以上發病，故俗稱五十肩。致病原尚不明瞭，推測可能與肌鍵炎、肌腱老化、外傷骨折及特定疾病等因素有關。五十肩依其病程可分為疼痛期、冰凍期和解凍期三個時期。症狀包括：肩頸部疼痛、肩膀僵硬、手舉不起來、肩關肩在某些角度的活動度受限等。此外，患者夜間睡覺時疼痛感會更為劇烈。治療上，多採物理運動的復健方法，如爬牆運動、鐘擺運動、肩輪運動等，強化患者肩部肌肉力，或透過熱敷、短波、超音波療法，減輕肩關節周圍軟組織的疼痛感。,['肩痛．頸痛．肩膀僵硬．無法舉手．肩膀無力．關節活動受限'],平時適度舒展肩關節，可促進關節囊膜分泌新滑液，保健肩部關節軟骨組織。
,,,,,,
手指肌腱狹窄性腱鞘炎  ,"Stenosing Tenosynovitis of the Flexor Tendons,Trigger Finger,Locked Finger,Snapping finger","復健科,骨科",手指關節,手指肌腱狹窄性腱鞘炎，指的是發生在手指部屈指肌腱鞘的一種慢性無菌性炎症，由於手指伸展時會喀喀作響，因此又叫「扳機指」。肇因多為過度頻繁地使用固定的手指動作，如工廠作業、電腦操作、彈奏樂器、女紅、及勤做家務等。明顯的臨床表徵有：患指彎曲後不易伸直，在掌指關節處按壓會有痛覺，還可觸摸到腫脹和結節硬塊等。病況早期，患者起床或工作時會自覺手指的靈活度略減、掌指關節很容易就痠痛，後期則疼痛加劇、手指活動整個受限，更甚者患指還需要其他旁側的健康手指加以輔助才能伸展完全。扳機指可以發生在任何手指，最常見的在大拇指，又常常合併媽媽手或腕隧道症一起出現。另有一種專門發生在幼兒身上的屈指肌腱鞘炎，是先天就有的，一歲前約有三成能自癒，兩歲後如未能自癒再考慮動手術，避免引發其他後遺症。,['患指充血腫脹．患部無力．患部僵硬．患指伸屈困難．伸指有聲．掌指關節痠痛'],保持正確的手部姿勢，避免讓手指過度頻繁做固定的彎曲動作、持續時間過長或過於出力，更不勉強用一指提重物。
,,,,,,
腕隧道症候群  ,"Carpal Tunnel Syndrome, CTS","復健科,骨科,神經科,一般外科",腕部關節,腕隧道症候群是一種合併手腕、拇指、食指、中指及無名指麻痛症狀的疾病，與同樣造成手腕不適的另一種手疾：媽媽手，不同之處在於，媽媽手是拇指外側靠近腕部的兩條肌腱發炎，導致拇指活動時疼痛，而腕隧道症候群則是因通過手腕腕隧道的正中神經因故受壓迫所引發。經常重複性使用手腕，讓腕部久處於不自然的狀態，包括屈曲、折壓或扭轉，都很容易造成腕隧道症候群。疾病早期，正中神經所支配的腕部區域會出現輕微麻木、疼痛等，症狀可能發生在單側或雙側手腕，且會在夜間加劇，甚至半夜被痛醒，漸漸地白天也會時不時出現手指和腕部痠麻、灼熱和針刺感。疾病中期，細微的手部動作會開始出現障礙，如杯子握不住而摔破、疼痛感也會延伸至肘肩等。到疾病後期，可能導致患者感覺喪失、肌肉萎縮等。當正中神經傳導出現病變，屬不可逆現象，需及早接受治療，以防更嚴重的併發症。,['手麻．刺痛．腫脹灼熱．手痠無力．手指動作障礙'],避免長時間過度使用手腕，如有必要可加戴護腕加以保護，並適度讓手腕休息，而腕部最放鬆的就是自然伸直的狀態。
,,,,,,
肱骨外上髁炎  ,"Lateral Epicondylitis, Tennis Elbow","復健科,骨科","手臂,手肘",肱骨外上髁是指前臂伸肌總腱與肱骨的銜接處，此處周圍的軟組織慢性炎症，即稱作肱骨外上髁炎。因為在網球選手身上很常見，因此又稱網球肘，但並不局限於運動員，從事建築木工、搬運裝修、烹飪、家庭主婦等職業的人也很容易發生。如果疼痛病症是出現在肘部關節內側的，則為肱骨內上髁炎，或稱高爾夫球肘。臨床症狀最明顯的就是肘部關節外側感覺痠痛，當手部提、握或拉重物時痛感加劇，並會延伸至整個前臂外側，更有甚者肘關節可能變得無力而且僵硬，嚴重到日常生活中的持筷、拿杯子、擰毛巾、開門、握手及寫字都有障礙。自我診斷方式是做旋臂屈腕測試，將前臂往外旋，腕部微彎，肘部伸直，如果這時手肘出現疼痛，即可能罹患肱骨外上髁炎，可至醫院專科接受核磁共振掃描或軟組織超音波檢查加以確診。治療上會先採休息、冰敷消腫、熱療或電療等物理治療及運動，並配戴護肘護具等方式，疼痛較嚴重者，可考慮局部注射(增生療法)，逾半年以上仍不見成效，才考慮手術治療。,['肘外側痠痛．紅腫發熱．前臂痛．伸肘疼痛．手臂無力．手肘僵硬'],盡量避免手肘與前臂的肌肉處於負荷過度的狀態，在施力搬運或工作時，如肘部關節感到痠累，最好稍作休息並分段進行，絕不勉強。
,,,,,,
肱骨內上髁炎  ,"Medial Epicondylitis,Golf Elbow","復健科,骨科","手臂,手肘",肱骨內上髁炎亦屬上髁炎的一種，只是患部發生在肘部及前臂的內側，在打高爾夫球揮桿至最高點時，內側手肘承受強大的外翻力量，易造成該部位的旋前肌群與屈肌腱拉傷，因此高爾夫球員經常罹患此症，故別稱高爾夫球肘。類似這種猛力加速導致內側手肘與前臂承受強大壓力的運動還包括：投擲棒球、網球、保齡球、橄欖球，以及從事頻繁使用前臂的行業，如家庭主婦、學生、會計、鉛管工、園丁等。臨床上，疼痛會由手肘關節的內上髁發作，並隨著手腕屈曲及前臂旋轉動作，如提舉重物而痛感加劇。若發現以下徵兆，就可能是罹患肱骨內上髁炎：．手肘內側觸壓會痛。．屈肘、外翻會痛。．當手部施力或旋轉時，如擰毛巾，手肘內側及前臂會痛。．肘關節內側可能發腫發熱，夜間影響睡眠品質。肱骨內上髁炎若不及時治療，疼痛最終會延伸到前臂及掌指，導致局部痠痛無力，無法提起重物，甚至出現神經感覺喪失的現象。治療首在改善疼痛，同時使用前臂束帶來矯正錯誤的姿勢、勤做肌肉放鬆訓練等。若保守療法無效再考慮手術治療。,['肘內側痠痛．紅腫發熱．壓痛．握力弱．屈腕無力'],留意工作量，避免讓前臂內側的肌力過度疲勞，同時調整工作的姿勢，適時做些讓腕部及前臂放鬆的運動，如握拳、鬆開、手臂伸展等。
,,,,,,
顏面神經麻痺  ,Facial palsy,神經科,臉,顏面神經為第7對腦神經，主掌臉部表情及眼皮閉合。顏面神經麻痺好發於春冬交替季節，發病前多有上呼吸道感染病史，會突然出現眼歪嘴斜的情形，常被一般民眾誤認為腦中風。,['臉歪嘴斜．無法閉眼．眼睛乾澀．臉部麻痺．口水外流．抬頭紋消失．溢淚．味覺異常．聽覺異常'],避免長時間工作及熬夜，保持正常作息。
,,,,,,
三叉神經痛  ,Trigeminal neuralgia,神經科,臉,三叉神經是大腦中最粗的一根神經，主管顏面感覺，分別位在額頭、鼻子下巴附近。通常會在眼周、耳周、牙齒周圍及臉部引起強烈疼痛、灼熱、電擊感，與隱隱作痛、或持續性的牙痛不一樣，經常發生於40歲以上的中老年女性。,['臉部疼痛．咀嚼肌痙攣．臉部灼熱．臉部電擊感．單側頭痛'],注意頭部及臉部保暖。
,,,,,,
運動神經元病  ,Motor Neuron Disease,神經科,肌肉,運動神經元疾病，俗稱漸凍人，是一種因運動神經功能受損、造成進行性肌肉萎縮的罕見疾病，發病率約為十萬分之二，可分為幼年型遠端肌肉萎縮症、脊髓型肌肉萎縮、脊髓側索硬化症、下運動神經元症候群四種類型，其中肌萎縮脊髓側索硬化症為最為嚴重常見，80％的漸凍人多屬於此類型，目前尚未有有效的治療方式，患者的平均存活時間只有三年。,['肌肉萎縮．肌肉抽動．四肢無力．吞嚥困難．說話困難．口齒不清．肢體僵硬．全身癱瘓'],夫妻本身或雙方家族有病史者，懷孕前應先進行基因篩檢，以確定兩人是否為帶因者。
,,,,,,
不寧腿症候群  ,"Restless Leg Syndrome,RLS",神經科,"兩側小腿,足部,大腿,臀部,下背部",不寧腿症候群是一種中樞神經障礙疾病，影響的部位以下肢為主，在肢體深層組織處於靜止狀態時，會出現如蟲爬或燒灼刺痛等異常感覺。大多患者在白天時並無任何症狀，但在休息或夜間睡眠時，下肢不適的症狀會加劇，需藉由移動或伸展肢體來緩解不適感。病患經常因腿部深層酸痛、刺癢或抽動而驚醒，反反覆覆中斷睡眠，導致睡眠品質低落，影響日間活力和精神狀況。病情嚴重者，甚至會累及兩側上肢。,['腿部感覺異常．針刺感．搔癢感．牽拉感．痛感．蟲爬感．雙腿抽動．麻痛．睡不安穩．睡眠間斷'],懷孕前可先評估是否有缺鐵、缺葉酸和貧血的現象，提早服用孕期綜合維他命。
,,,,,,
神經纖維瘤  ,"Neurofibromatosis,NF",神經科,"皮膚,皮下組織,神經,骨骼","神經纖維瘤是一種神經科單一基因疾病，因遺傳或自體基因變異所造成。此種先天遺傳性疾病，依照臨床表現主要分為兩大型：第一型最為常見，稱為週邊神經型（NF1），發生率約介於1／3,000~1／4,000之間。NF1病患的症狀特徵是皮膚上有黃棕色的皮膚斑和腫瘤，或腋下及腹股溝出現雀斑，且多在兒童時期就表現出來，青春期後眼睛出現虹膜色素缺陷瘤、或視神經長出視神經膠質瘤。另有些患者有明顯的骨骼病變，如蝶骨發育不良、長骨變薄、脊柱側彎等。第二型為政府公告的罕見疾病，稱為中樞神經型（NF2），發生率約為1／40,000。NF2病患的平均發病年齡為18~24歲，症狀特徵為左右雙側前庭神經鞘瘤與多發性腦膜瘤、脊椎神經腫瘤。","['疾病原因神經纖維瘤是一種體染色體顯性遺傳的神經性疾病。神經纖維瘤第一型（NF1）是位於第17號染色體上的NF1基因發生突變所造成。此突變基因所製造的蛋白質異常，造成細胞不正常生長，進而形成腫瘤。神經纖維瘤第二型（NF2），則與第22對染色體的基因缺陷有關，主要侵犯中樞神經系統，尤其是雙側的聽神經纖維瘤，會造成患者聽力的喪失或逐漸惡化。患者有50％機會把缺陷基因再傳給下一代，另有少數病例是因為父母親的生殖細胞基因變異所導致。A.第一型神經纖維瘤（NF1）的診斷標準為以下的臨床表徵中，至少有兩項（含）或兩項以上者：皮膚有六個（含）以上的咖啡牛奶斑，孩童期直徑大於0.5公分，或成人期大於1.5公分。表皮或皮下有兩個（含）以上任何種類的神經纖維瘤，或一處叢狀神經纖維瘤。腋窩或鼠蹊部有雀斑狀的小色素斑。視神經膠質瘤。眼睛上有兩處（含）以上的虹膜色素缺陷瘤。特定的骨骼病變，如蝶骨發育不良或骨皮質薄化。一等親為符合以上診斷標準的神經纖維瘤症患者。B.第二型神經纖維瘤（NF2）的診斷標為：核磁共振診斷顯示有雙側前庭神經鞘瘤。一等親中有人罹患NF2，並具有單側前庭聽神經鞘瘤（30歲以前），或是神經鞘瘤、腦膜瘤、神經纖維瘤神經膠質瘤或早發性白內障以上其中的兩項。', '皮膚咖啡牛奶斑．腋下或腹股溝雀斑．皮膚腫瘤．身體腫瘤．神經纖維瘤．前庭神經鞘瘤．虹膜色素缺陷瘤．視神經膠瘤．頭大身短．骨骼及軟組織異常增生．蝶骨缺陷．長骨皮質薄化．耳鳴．早衰性白內障']",可藉由抽血檢測基因是否存在變異。夫妻欲生育下一代時，可先進行遺傳諮詢或產前檢查，以預防該疾病發生。
,,,,,,
缺血性腦中風  ,Ischemic Stroke,"神經科,呼吸胸腔科,心臟血管科,復健科","腦,血管",腦中風可分為出血性中風和缺血腦中風兩類。缺血性腦中風是國人最常見的中風，意指因血管阻塞，造成腦血液流量不足，使腦部組織缺血壞死和功能喪失，引起原因又以腦栓塞和腦血栓最為多見。缺血性腦中風發作之前，病患可能會有暫時性腦缺血（俗稱小中風）的症狀，包括突發性單邊手腳發麻無力、語言障礙、視野模糊、平衡感喪失等，發生時間短暫很快就恢復，卻是腦中風的重要前兆。腦頸動脈粥狀硬化斑塊、狹窄是導致缺血性腦中風的重要因素，故除了中老年人，患有高血壓、高血脂、糖尿病的病患及長期吸菸者，也都是好發族群。,['單側肢體無力．單側肢體偏癱．頭痛．暈昡．失語．視力模糊．視野缺損．意識障礙．運動感覺障礙．心悸．抽搐．噁心嘔吐．倦怠．流口水．吞嚥困難．言語不清．嘴歪眼斜．大小便失禁'],均衡飲食，多吃蔬菜及水果，減少高油脂食物攝取。
,,,,,,
出血性腦中風  ,Hemorrhage Stroke,"神經科,心臟血管科,復健科","腦,血管",腦中風可分為出血性中風和缺血腦中風兩類。出血性腦中風是指血管硬化引起腦部血管破裂，導致顱內出血。依出血原因又可分為兩大類：腦內出血和蜘蛛膜下腔出血。雖然出血性中風的發生率較缺血性腦中風低，但起病急、病程發展迅速，故死亡率和致殘率相當高。好發於中老年人，也與高血壓、高血脂、糖尿病及吸菸有密切關係，又以長期控制不良之高血壓，為該病發生最主要的原因。症狀包括突然出現頭痛欲裂、眼歪嘴斜、單側身體無力、與人交談時失語等病徵。一旦中風發作，要把握3小時的黃金時間，盡速將病患送醫治療。,['單側肢體麻木無力．嘴歪眼斜．劇烈頭痛．眩暈．噁心嘔吐．意識不清．昏迷．言語不清．失語．吞嚥困難．流口水．走路不穩．運動失調．複視．視力模糊．視野缺損．抽搐'],日常飲食應選擇清淡、低鹽低脂的食物，避免辛辣及攝取高油脂食物。
,,,,,,
退化性關節炎  ,Osteo arthritis（OA）,骨科;復健科,關節軟骨,退化性關節炎來自於關節軟骨磨損、關節內潤滑液變少、關節周邊組織產生慢性發炎反應，造成的關節退化性疾病。退化性關節炎分為原發性（老化、肥胖）及次發性（疾病、遺傳或長期職業傷害），可發生於身體的任何關節，最常發生於膝關節、髖關節、手關節等可動關節，另還有肩關節、脊椎、踝關節等。由於是關節「老化」，無法根治，只能透過復健及保守治療如運動治療或藥物治療，如無效再施行人工關節置換手術。,['關節酸痛無力．關節僵硬．足踝疼痛．腰痠背痛．蹲下站起困難．關節腫大積水．關節變形．骨刺生成'],多食用富含膠原蛋白的食物，如蹄筋、雞爪、豬皮等。
,,,,,,
半月軟骨破裂  ,Meniscus tear,骨科,膝關節軟骨,半月軟骨破裂是一種常見的膝傷，通常是由於膝關節強力扭曲或快速旋轉，造成軟骨破裂。可分成創傷型和退化型，退化型半月軟骨受傷多因自然老化造成，常與退化性關節炎一起發生。創傷型則多發生在運動員或年輕人身上，1/3的患者會同時合併前十字韌帶損傷。,['膝蓋腫脹．膝蓋僵硬．膝蓋疼痛．膝蓋異常聲響．膝蓋活動不順．蹲下困難．伸直困難'],避免從事過度激烈的運動。
,,,,,,
僵直性脊椎炎  ,"Ankylosing spondylitis,AS",風濕過敏免疫科,"脊椎,薦腸骨關節,脊椎周邊肌腱韌帶",僵直性脊椎炎是一種免疫異常造成的慢性發炎性關節炎，主要侵犯脊椎、骨盆的薦腸關節、下肢關節及脊椎關節附近肌腱、韌帶等軟組織。症狀特徵為下背部及腰臀部酸痛僵硬。與一般的腰酸背痛差異在於:只要固定姿勢一久就會疼痛，但活動一下就會好轉；並且症狀持續3個月以上，尤其半夜、晨間特別僵硬，即是發炎性背痛。病情持續惡化將會導致脊椎關節僵直黏著，並容易造成骨折，部分病患會演變成嚴重的脊椎前彎（駝背)，甚至殘障失能。除了脊椎關節的病變外，也可能侵犯身體的其他器官或組織，如眼睛等，因此應將僵直性脊椎炎視為一種全身性的慢性發炎疾病。,['下背痛．臀部酸痛．胸痛．晨僵．疲勞．體重減輕．手指腳趾腫脹疼痛．運動範圍受限．肌腱或韌帶與骨骼交接處發炎．上下肢關節炎．眼睛紅痛．視力模糊．畏光．駝背'],有家族病史者如有背痛或虹彩炎症狀，最好能至醫療院所進行身體檢查，以早期診斷、早期治療。
,,,,,,
紅斑性狼瘡  ,"Systemic Lupus Erythematosus,SLE","風濕過敏免疫科,骨科",免疫系統,紅斑性狼瘡是一種慢性發炎性疾病。因身體的免疫系統失調，自體抗體攻擊全身的器官和組織，導致身體功能損害及產生病變，故稱為自體免疫疾病。不同病患在不同時期，受到侵襲的器官也不盡相同，因此紅斑性狼瘡的症狀非常多樣化，且輕重程度不一。患者面部皮膚經常發生病變，產生如蝴蝶形狀、橫過面部鼻翼兩側的紅斑，像被狼所咬傷，故稱為紅斑性狼瘡。診斷上主要是依據美國風濕病學院所訂定的十一點標準，包括：臉部出現紅斑、圓盤狀皮斑、光敏感、口腔內潰瘍、多發性關節痛或關節炎、尿蛋白超過每天0.5公克或尿液檢查出現圓柱體、神經學病變、肋膜炎或心包膜炎、血液學病變、免疫學病變、抗核抗體(ANA)陽性。若病患符合上述情形四項或四項以上，便可診斷為紅斑性狼瘡。,['倦怠．發燒．畏寒．體重減輕．關節痛．關節僵硬．肌肉痛．肌肉無力．掉髮．紅斑．雷諾氏現象．水腫．腹痛．皮膚疹．憂鬱．噁心．嘔吐．蛋白尿．血尿'],注意防曬，避免直接或間接的接觸紫外線。可塗抹防曬產品、撐傘、戴帽子及穿長袖衣褲。
,,,,,,
過敏  ,Hypersensitivity,"風濕過敏免疫科,家醫科,皮膚科,小兒科,眼科,耳鼻喉科","免疫系統,上呼吸道,眼睛,皮膚,胃腸道",過敏是現代社會最常見的慢性疾病，幾乎人人都有過類似經驗，當人體接觸到某些特定的小分子外來物，免疫系統會在體內起一連串的免疫反應，表現在外的就是打噴嚏、流鼻水、流眼淚等，大部分的過敏病都不至於危害性命，不過也有情況嚴重的，例如急性呼吸困難引發休克而死亡。如果長期反覆發病，也會對生活造成不小困擾。在台灣，常見的過敏性疾病有：●呼吸道過敏：包括過敏性鼻炎、花粉熱、氣喘等，症狀多涉及上呼吸道症候群。●眼睛過敏：過敏性結膜炎。●皮膚過敏：異位性皮膚炎、溼疹、蕁麻疹。●食物過敏：吃進某類食物後不久，胃腸道開始出現不適，或引發急性蕁麻疹。●藥物過敏：外用或吞入某些藥物所引發的類感冒症狀。,['打噴嚏．鼻癢．鼻塞．流鼻水．流眼淚．眼睛癢．眼睛紅．皮膚癢．起疹．紅腫．咳嗽．氣喘．胸悶．嘔吐．腹悶．腹瀉．發燒．頭痛．倦怠．睡眠品質差．呼吸有雜音．呼吸困難．心跳急速加快．胃痙攣．腸絞痛'],找出過敏原，事先避免接觸。如果對某些食物過敏，就不碰那些食物，於食用前也要詳讀內容物標示。如對貓狗過敏，就遠離貓狗。如對花粉過敏，就遠離有花的環境。
,,,,,,
糖尿病  ,Diabetes mellitus,"代謝內分泌科,家醫科",胰臟,糖尿病是一種因體內胰島素分泌不足，或身體細胞對胰島素的利用能力降低所引起的病症。主要分為四種類型：1型糖尿病、2型糖尿病、其他類型糖尿病和妊娠期糖尿病。此四種類型的糖尿病的病徵大多相同，但是此四種糖尿病的致病原因卻有相當大的差異。 胰島素是胰臟中胰島腺的β細胞所分泌的一種蛋白質，可將葡萄糖合成肝醣儲存或促使血中的葡萄糖進入各組織細胞中，用以提供人體所需的能量，使血液中的血糖下降。一般人的身體藉由胰島素來調控血糖，但當胰島素的量不夠，或身體對胰島素降血糖作用反應不佳時，葡萄糖就無法被利用，就會產生血糖過高的問題。血糖過高時，糖份經過腎臟時無法全部回收，而從尿液中排出，因此出現「糖尿」的現象，也就是所謂的糖尿病。,['易餓．體重減輕．疲倦．口渴．傷口久不癒合．四肢刺痛．四肢發麻．視力變差．夜尿增加'],定期做健康檢查，可以了解自己的身體狀況，早期察覺，提早治療。
,,,,,,
甲狀腺機能亢進  ,Hyperthyroidism,代謝內分泌科,"頸,甲狀腺",甲狀腺位於頸部氣管前方，喉部下方，分為左右兩葉，形狀就像一隻蝴蝶，是人體重要的內分泌器官，掌管體內新陳代謝和生長、發育等功能。一旦甲狀腺素分泌太多，基礎代謝率加速，交感神經活性增加，就是甲狀腺機能亢進。,['消瘦．冒汗．凸眼．焦慮．失眠．頸部腫大．心律不整．手抖．血壓上升．心悸．暴躁．月經不規則．體重減輕．緊張．掉髮．腹瀉．不易懷孕'],忌吃含碘食物，如海帶、昆布、紫菜……等。
,,,,,,
甲狀腺機能低下  ,Hypothyroidism,代謝內分泌科,"頸,甲狀腺",甲狀腺位於頸部氣管前方，喉部下方，分為左右兩葉，形狀就像一隻蝴蝶，是人體重要的內分泌器官，掌管體內新陳代謝和生長、發育等功能。一旦甲狀腺素分泌不足，基礎代謝率變慢，就是甲狀腺機能低下。,['嗜睡．心跳變慢．畏寒．皮膚粗糙．體重增加．水腫．便秘．昏迷．疲倦'],忌抽菸喝酒，少食用含咖啡因的食物和飲料，如咖啡、茶葉、可可、巧克力、可樂。
,,,,,,
橋本氏甲狀腺炎  ,Hashimoto's thyroiditis,代謝內分泌科,"頸,甲狀腺",甲狀腺位於頸部氣管前方，喉部下方，分為左右兩葉，形狀就像一隻蝴蝶，是人體重要的內分泌器官，掌管體內新陳代謝和生長、發育等功能。橋本氏甲狀腺炎又叫做慢性淋巴細胞性甲狀腺炎，是種因家族遺傳、體質產生的自體免疫性疾病。,['疲倦．怕冷．便秘．貧血．肌肉關節疼痛．膽固醇升高'],忌抽菸喝酒，少食用含咖啡因的食物和飲料，如咖啡、茶葉、可可、巧克力、可樂。
